azim,zen,trrot,aoi,truetrack,backtrack
83.49721414,25.96469882,-25.7882065,0.826279258,-25.7882065,0
66.87148229,13.08204108,-12.02993173,2.911041916,-12.02993173,0
341.7417623,6.026628641,1.888497315,3.48437949,1.888497315,0
286.6462363,16.47560079,15.78221439,2.505565177,15.78221439,0
274.0434188,29.55696805,29.47613516,0.044252565,29.47613516,0
266.9221115,42.83440807,42.87064286,3.734137434,42.87064286,0
261.1389444,56.03837648,55.97832137,8.597316252,55.97832137,0
255.5657129,69.03384735,27.23335522,43.64308831,65.13350728,37.90015206
249.6317547,81.6525718,27.23335522,57.21555285,65.13350728,37.90015206
242.8618318,93.92782767,65.13350728,39.71334985,65.13350728,0
234.7179949,105.3050977,65.13350728,53.53676931,65.13350728,0
224.5346523,115.4507675,65.13350728,67.45397448,65.13350728,0
211.600442,123.6790176,65.13350728,81.31710037,65.13350728,0
195.6171239,129.0406764,65.13350728,90,65.13350728,0
177.5759979,130.5869053,-84.86649272,90,-84.86649272,0
159.8795036,127.9746344,-84.86649272,77.73246733,-84.86649272,0
144.6625419,121.7631393,-84.86649272,63.87673378,-84.86649272,0
132.5018776,112.9509306,-84.86649272,50.27292235,-84.86649272,0
122.9159646,102.4276448,-84.86649272,37.3056375,-84.86649272,0
115.1808888,90.19641785,-84.86649272,25.90233714,-84.86649272,0
108.6638704,78.40326183,-78.51167952,18.72930017,-78.51167952,0
102.850323,65.66020493,-65.54833401,12.62588455,-65.54833401,0
97.25553736,52.59671736,-52.57467836,7.121877156,-52.57467836,0
91.22078895,39.36049996,-39.39478604,2.505070425,-39.39478604,0
83.2255523,26.10097311,-25.90907286,0.96111589,-25.90907286,0
66.46126879,13.23741663,-12.1359547,3.058191097,-12.1359547,0
342.9917506,6.150580586,1.799580108,3.642694844,1.799580108,0
287.2838242,16.4567853,15.71155457,2.672993526,15.71155457,0
274.4042095,29.51885746,29.42334186,0.218329541,29.42334186,0
267.1839547,42.79573132,42.83387923,3.555759562,42.83387923,0
261.3551873,56.00545282,55.95471886,8.416499655,55.95471886,0
255.7595928,69.01055015,27.23335522,43.58175302,65.13350728,37.90015206
249.8161637,81.64248337,27.23335522,57.16422917,65.13350728,37.90015206
